,ARK_Doc1_Boeing-shares-fall.txt,ARK_Doc2_Booking-fall-travel.txt
expensive avoid,0.0,0.03393770496482317
expensive avoid according,0.0,0.03393770496482317
extended,0.0,0.03393770496482317
extended flight,0.0,0.03393770496482317
extended flight cancellations,0.0,0.03393770496482317
fallen,0.0335095168168023,0.0
fallen premarket,0.0335095168168023,0.0
fallen premarket close,0.0335095168168023,0.0
fatal,0.0,0.06787540992964634
fatal crash,0.0,0.03393770496482317
fatal crash ethiopian,0.0,0.03393770496482317
fatal crashes,0.0,0.03393770496482317
fatal crashes months,0.0,0.03393770496482317
feature,0.0,0.03393770496482317
feature online,0.0,0.03393770496482317
feature online social,0.0,0.03393770496482317
federal,0.02384229720359832,0.024146956597524673
federal aviation,0.02384229720359832,0.024146956597524673
federal aviation administration,0.02384229720359832,0.024146956597524673
filing,0.0335095168168023,0.0
filing issue,0.0335095168168023,0.0
filing issue covered,0.0335095168168023,0.0
final,0.0335095168168023,0.0
final softwarehardware,0.0335095168168023,0.0
final softwarehardware package,0.0335095168168023,0.0
first,0.02384229720359832,0.024146956597524673
first certification,0.0335095168168023,0.0
first certification flight,0.0335095168168023,0.0
first studies,0.0,0.03393770496482317
first studies people,0.0,0.03393770496482317
fleet,0.0,0.10181311489446951
fleet boeing,0.0,0.03393770496482317
fleet boeing american,0.0,0.03393770496482317
fleet mainline,0.0,0.03393770496482317
fleet mainline aircraft,0.0,0.03393770496482317
fleet previously,0.0,0.03393770496482317
fleet previously planned,0.0,0.03393770496482317
fleets,0.0,0.03393770496482317
fleets southwest,0.0,0.03393770496482317
fleets southwest aircraft,0.0,0.03393770496482317
flight,0.04768459440719664,0.07244086979257403
flight cancellations,0.0,0.03393770496482317
flight cancellations twice,0.0,0.03393770496482317
flight march,0.0,0.03393770496482317
flight march grounding,0.0,0.03393770496482317
flight route,0.0,0.03393770496482317
flight route cases,0.0,0.03393770496482317
flight second,0.0335095168168023,0.0
flight second according,0.0335095168168023,0.0
flight statement,0.0335095168168023,0.0
flight statement international,0.0335095168168023,0.0
flights,0.0,0.20362622978893902
flights convenient,0.0,0.03393770496482317
flights convenient expensive,0.0,0.03393770496482317
flights hundreds,0.0,0.03393770496482317
flights hundreds flights,0.0,0.03393770496482317
flights scheduled,0.0,0.06787540992964634
flights scheduled monday,0.0,0.03393770496482317
flights scheduled southwest,0.0,0.03393770496482317
flights seattle,0.0,0.03393770496482317
flights seattle southern,0.0,0.03393770496482317
flights travelers,0.0,0.03393770496482317
flights travelers shopping,0.0,0.03393770496482317
flyer,0.0,0.03393770496482317
flyer reluctance,0.0,0.03393770496482317
flyer reluctance board,0.0,0.03393770496482317
flying,0.0,0.06787540992964634
flying followed,0.0,0.03393770496482317
flying followed order,0.0,0.03393770496482317
flying middecember,0.0,0.03393770496482317
flying middecember monday,0.0,0.03393770496482317
focus,0.0335095168168023,0.0
focus regulators,0.0335095168168023,0.0
focus regulators airplanes,0.0335095168168023,0.0
followed,0.02384229720359832,0.024146956597524673
followed order,0.0,0.03393770496482317
followed order american,0.0,0.03393770496482317
followed summit,0.0335095168168023,0.0
followed summit montreal,0.0335095168168023,0.0
forth,0.0335095168168023,0.0
forth final,0.0335095168168023,0.0
forth final softwarehardware,0.0335095168168023,0.0
found,0.09536918881439328,0.024146956597524673
found another,0.0335095168168023,0.0
found another software,0.0335095168168023,0.0
found flights,0.0,0.03393770496482317
found flights scheduled,0.0,0.03393770496482317
found issue,0.0670190336336046,0.0
found issue aircraft,0.0670190336336046,0.0
found potential,0.0335095168168023,0.0
found potential boeing,0.0335095168168023,0.0
fraction,0.0,0.03393770496482317
fraction airlines,0.0,0.03393770496482317
fraction airlines fleets,0.0,0.03393770496482317
function,0.0670190336336046,0.0
function efficiently,0.0670190336336046,0.0
function efficiently without,0.0670190336336046,0.0
future,0.0,0.03393770496482317
future flights,0.0,0.03393770496482317
future flights travelers,0.0,0.03393770496482317
general,0.0335095168168023,0.0
general alexandre,0.0335095168168023,0.0
general alexandre juniac,0.0335095168168023,0.0
giant,0.0,0.03393770496482317
giant pulled,0.0,0.03393770496482317
giant pulled schedule,0.0,0.03393770496482317
global,0.0335095168168023,0.0
global standards,0.0335095168168023,0.0
global standards including,0.0335095168168023,0.0
globally,0.0335095168168023,0.0
globally integrated,0.0335095168168023,0.0
globally integrated system,0.0335095168168023,0.0
going,0.0,0.06787540992964634
going avoid,0.0,0.03393770496482317
going avoid plane,0.0,0.03393770496482317
going tough,0.0,0.03393770496482317
going tough convincing,0.0,0.03393770496482317
ground,0.0335095168168023,0.0
ground pressure,0.0335095168168023,0.0
ground pressure stock,0.0335095168168023,0.0
grounded,0.04768459440719664,0.024146956597524673
grounded additional,0.0335095168168023,0.0
grounded additional months,0.0335095168168023,0.0
grounded aircraft,0.0335095168168023,0.0
grounded aircraft international,0.0335095168168023,0.0
grounded doesnt,0.0,0.03393770496482317
grounded doesnt airlines,0.0,0.03393770496482317
grounding,0.0,0.10181311489446951
grounding likely,0.0,0.03393770496482317
grounding likely planes,0.0,0.03393770496482317
grounding lingers,0.0,0.03393770496482317
grounding lingers airlines,0.0,0.03393770496482317
grounding march,0.0,0.03393770496482317
grounding march travelers,0.0,0.03393770496482317
group,0.0,0.03393770496482317
group first,0.0,0.03393770496482317
group first studies,0.0,0.03393770496482317
harteveldt,0.0,0.03393770496482317
harteveldt president,0.0,0.03393770496482317
harteveldt president atmosphere,0.0,0.03393770496482317
heavily,0.0335095168168023,0.0
heavily industry,0.0335095168168023,0.0
heavily industry holds,0.0335095168168023,0.0
henry,0.0,0.03393770496482317
henry harteveldt,0.0,0.03393770496482317
henry harteveldt president,0.0,0.03393770496482317
highlight,0.0335095168168023,0.0
highlight potential,0.0335095168168023,0.0
highlight potential risks,0.0335095168168023,0.0
holds,0.0335095168168023,0.0
holds safety,0.0335095168168023,0.0
