,ARK_Doc6_Airlines-avoid-parts.txt,ARK_Doc7_Why-allowing-pilots.txt,ARK_Doc3_Boeings-737-max.txt,ARK_Doc9_Rex-slams-claims.txt,ARK_Doc10_FAA-reassigns-senior.txt,ARK_Doc1_Boeing-shares-fall.txt,ARK_Doc4_Boeing_373_max.txt,ARK_Doc12_Can-airlines-force.txt,ARK_Doc11_American-airlines-says.txt,ARK_Doc2_Booking-fall-travel.txt,ARK_Doc8_In-recent-airline.txt,ARK_Doc5_NTSB-recent-crashes.txt,imp_value
process,0.0,0.04133110660378527,0.0,0.0,0.033802477946012495,0.07954997645216509,0.08398431499033275,0.0,0.052576020527334975,0.0,0.23917284487839316,0.034087324360125446,0.07415518526719908
incident,0.1328184763615208,0.0,0.0,0.07884998732402258,0.04449733067135116,0.0,0.0,0.0,0.0,0.0,0.0,0.13461690111979205,0.07197945599348832
either,0.0,0.0,0.06957198591267826,0.07149843104514962,0.0,0.0,0.03341621330407008,0.12437502359307037,0.0,0.0,0.0,0.12206593239733901,0.07111314201865535
matter,0.0,0.0,0.0,0.07884998732402258,0.13349199201405346,0.0,0.0368521092970404,0.0,0.0,0.0,0.125938141968874,0.0,0.07045041171862618
based,0.0,0.0,0.07672546274277868,0.07884998732402258,0.0,0.0,0.0,0.0,0.0,0.0,0.125938141968874,0.04487230037326402,0.07035483026887576
management,0.0,0.0,0.0,0.08784756503562528,0.198299697069061,0.0,0.0,0.0,0.0,0.0,0.0,0.19997072715508074,0.07027805202850029
office,0.0,0.0,0.08548061080196559,0.0,0.2974495456035915,0.0,0.0,0.0,0.0,0.0,0.0,0.09998536357754037,0.06838448864157254
comment,0.0,0.0,0.06957198591267826,0.07149843104514962,0.1210459038740851,0.0,0.03341621330407008,0.062187511796535186,0.0,0.0,0.0,0.0,0.06809509108944965
system,0.0,0.0,0.058284636923854105,0.05989853587508928,0.033802477946012495,0.15909995290433018,0.0,0.052098218826299635,0.0,0.0,0.14350370692703587,0.06817464872025089,0.06651942615121857
official,0.12043518326302718,0.0,0.0,0.0,0.08069726924939007,0.0,0.06683242660814016,0.062187511796535186,0.06275784413397278,0.0,0.0,0.0,0.06601751011330668
authority,0.12043518326302718,0.0,0.0,0.14299686209029924,0.0,0.0,0.06683242660814016,0.062187511796535186,0.0,0.0,0.0,0.040688644132446335,0.06590344364581917
grounding,0.0,0.0,0.0,0.08784756503562528,0.0,0.0,0.08211461226666363,0.0,0.0,0.18350834741556799,0.0,0.0,0.06569168981333096
march,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.08211461226666363,0.0,0.0,0.12233889827704532,0.0,0.0,0.06569168981333096
order,0.06021759163151359,0.0,0.20871595773803478,0.0,0.0,0.0,0.06683242660814016,0.0,0.18827353240191838,0.049785325746101596,0.0,0.0,0.06550945961281485
investigation,0.0,0.0,0.0,0.07149843104514962,0.08069726924939007,0.0,0.03341621330407008,0.0,0.0,0.0,0.22839266980509743,0.040688644132446335,0.06533647366260899
southern,0.0664092381807604,0.0,0.0,0.0,0.0,0.0,0.0,0.06858170795066629,0.0692106825578019,0.05490431393555387,0.0,0.0,0.0641082533317191
group,0.0664092381807604,0.0,0.07672546274277868,0.0,0.0,0.0,0.0,0.0,0.0692106825578019,0.05490431393555387,0.0,0.0,0.0641082533317191
largest,0.0664092381807604,0.0,0.07672546274277868,0.0,0.0,0.0,0.0,0.0,0.0692106825578019,0.05490431393555387,0.0,0.0,0.0641082533317191
maintenance,0.0,0.045046334598470614,0.0,0.06528277877613503,0.14736384838764996,0.0,0.0,0.0,0.1146040939689472,0.0,0.05213438924121859,0.037151413181668376,0.06265310086915175
state,0.0,0.0,0.0,0.07884998732402258,0.0,0.0,0.0368521092970404,0.06858170795066629,0.0,0.0,0.125938141968874,0.0,0.062235788219941135
delay,0.0,0.045046334598470614,0.06352380743132226,0.0,0.0,0.043350337687746564,0.1525560231726049,0.05678129597959765,0.2292081879378944,0.0,0.0,0.0,0.06217530514097734
organization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22922271469845537,0.07710831851084113,0.0,0.0,0.09998536357754037,0.061686654808672955
share,0.0,0.0,0.0,0.0,0.0,0.17500273490500276,0.08211461226666363,0.0,0.07710831851084113,0.0,0.0,0.0,0.061686654808672955
ongoing,0.14797440222982294,0.0,0.08548061080196559,0.0,0.0,0.0,0.0,0.0,0.07710831851084113,0.0,0.0,0.0,0.061686654808672955
might,0.0,0.12123291570739002,0.0,0.0,0.0,0.0,0.0,0.22922271469845537,0.07710831851084113,0.0,0.0,0.0,0.061686654808672955
warning,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.0,0.07640757156615179,0.07710831851084113,0.0,0.0,0.0,0.06112605725292148
industry,0.0,0.1088159229331559,0.0,0.0,0.0,0.05235949880277572,0.0,0.0,0.0,0.0,0.062969070984437,0.08974460074652804,0.060847156548104755
change,0.18065277489454076,0.0,0.0,0.0,0.0,0.09495555146572143,0.03341621330407008,0.062187511796535186,0.0,0.049785325746101596,0.0,0.0,0.05970707458644848
cockpit,0.0,0.2176318458663118,0.07672546274277868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062969070984437,0.04487230037326402,0.059349716862202424
raised,0.0,0.0,0.0,0.07884998732402258,0.08899466134270231,0.0,0.0,0.0,0.0,0.0,0.062969070984437,0.04487230037326402,0.059349716862202424
aviation safety,0.0,0.0,0.0,0.07884998732402258,0.0,0.0,0.0,0.06858170795066629,0.0,0.0,0.062969070984437,0.04487230037326402,0.059349716862202424
