"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"2012","Dodgers","86","76","40","668","162","1449.2","7.92","3.35","0.76",".283","74.8 %","45.5 %","8.9 %","3.35","3.64","3.93","19.5"
"2012","Nationals","98","64","51","644","162","1468.1","8.12","3.05","0.79",".282","75.1 %","46.3 %","9.2 %","3.34","3.54","3.80","19.3"
"2002","Astros","84","78","43","642","162","1445.0","7.59","3.40","0.94",".300","73.3 %","44.6 %","10.5 %","4.00","3.88","3.91","19.3"
"2005","Indians","93","69","51","571","162","1452.2","6.51","2.56","0.97",".275","73.6 %","44.8 %","10.2 %","3.61","3.92","3.97","19.2"
"2006","White Sox","90","72","46","560","162","1449.0","6.29","2.69","1.24",".295","70.5 %","42.9 %","11.2 %","4.61","4.56","4.50","19.2"
"2009","Yankees","103","59","51","623","162","1450.0","7.82","3.56","1.12",".290","71.9 %","42.3 %","11.1 %","4.28","4.32","4.17","19.2"
"2006","Astros","82","80","42","659","162","1468.2","7.11","2.94","1.12",".286","72.8 %","45.2 %","11.6 %","4.09","4.27","4.16","19.2"
"2004","Brewers","67","94","42","584","161","1442.0","6.85","2.97","1.02",".289","69.6 %","44.0 %","10.1 %","4.26","4.10","4.22","19.0"
"2005","Twins","83","79","44","558","162","1464.1","5.93","2.14","1.04",".283","73.6 %","45.1 %","10.3 %","3.72","4.00","4.04","19.0"
"2006","Diamondbacks","76","86","34","623","162","1459.2","6.87","3.30","1.04",".299","70.4 %","46.8 %","11.1 %","4.49","4.34","4.30","19.0"
"2007","Brewers","83","79","49","654","162","1444.1","7.32","3.16","1.00",".308","70.2 %","41.5 %","9.2 %","4.44","4.22","4.29","18.8"
"2010","Rangers","90","72","46","643","162","1455.1","7.30","3.41","1.00",".280","73.6 %","41.5 %","9.3 %","3.93","4.17","4.19","18.8"
"2011","Braves","89","73","52","672","162","1479.2","8.10","3.17","0.76",".288","75.2 %","47.5 %","9.2 %","3.49","3.49","3.54","18.7"
"2004","Yankees","101","61","59","598","162","1443.2","6.60","2.77","1.13",".300","69.0 %","43.1 %","10.5 %","4.69","4.27","4.34","18.6"
"2010","Giants","92","70","57","638","162","1461.0","8.20","3.56","0.83",".282","77.0 %","42.0 %","8.0 %","3.36","3.74","3.94","18.5"
"2006","Tigers","95","67","46","552","162","1448.0","6.23","3.04","0.99",".284","74.1 %","45.5 %","10.0 %","3.85","4.32","4.43","18.5"
"2013","Braves","96","66","53","628","162","1450.1","7.65","2.54","0.79",".288","77.0 %","45.8 %","9.4 %","3.18","3.44","3.58","18.4"
"2007","Red Sox","96","66","45","613","162","1438.2","7.19","3.02","0.94",".284","73.5 %","42.6 %","8.7 %","3.87","4.14","4.28","18.4"
"2010","Braves","91","71","41","652","162","1439.1","7.76","3.16","0.79",".290","73.4 %","49.9 %","9.3 %","3.57","3.65","3.65","18.4"
"2002","Mariners","93","69","43","505","162","1445.1","6.62","2.75","1.11",".284","73.0 %","40.2 %","10.3 %","4.07","4.11","4.16","18.3"
"2011","Dodgers","82","79","40","622","161","1432.0","7.95","3.19","0.83",".285","74.1 %","42.8 %","8.8 %","3.56","3.61","3.72","18.3"
"2005","Athletics","88","74","38","572","162","1450.1","6.67","3.13","0.96",".271","73.4 %","44.0 %","10.2 %","3.70","4.08","4.14","18.3"
"2012","Athletics","94","68","47","624","162","1470.0","6.96","2.83","0.90",".279","75.4 %","41.7 %","9.1 %","3.50","3.89","4.20","18.2"
"2002","Giants","95","66","43","579","162","1437.1","6.21","3.27","0.73",".281","74.0 %","42.3 %","7.3 %","3.55","3.80","4.27","18.1"
"2014","Dodgers","94","68","47","658","162","1464.2","8.44","2.64","0.87",".292","74.0 %","47.8 %","10.8 %","3.40","3.48","3.33","18.0"
"2014","Cubs","73","89","37","699","162","1463.1","8.06","3.10","0.71",".304","69.6 %","44.0 %","8.0 %","3.92","3.51","3.70","18.0"
"2014","Tigers","90","72","41","635","162","1454.0","7.70","2.86","0.79",".312","70.7 %","44.2 %","8.3 %","4.01","3.60","3.76","17.9"
"2012","Cardinals","88","74","42","668","162","1462.2","7.49","2.68","0.82",".298","73.2 %","48.5 %","10.4 %","3.71","3.62","3.72","17.9"
"2011","Rangers","96","66","38","579","162","1441.1","7.36","2.88","1.06",".278","72.5 %","42.6 %","10.7 %","3.79","3.98","3.83","17.9"
"2012","Brewers","83","79","44","674","162","1453.2","8.68","3.25","1.05",".313","72.1 %","43.8 %","12.1 %","4.22","3.82","3.73","17.9"
"2013","Pirates","94","68","55","627","162","1470.2","7.72","3.15","0.62",".285","75.0 %","52.5 %","8.9 %","3.27","3.42","3.58","17.9"
"2009","Red Sox","95","67","41","625","162","1436.2","7.71","3.32","1.05",".309","73.0 %","40.9 %","9.4 %","4.35","4.14","4.25","17.8"
"2010","Twins","94","68","40","627","162","1452.2","6.49","2.37","0.96",".299","73.4 %","44.7 %","9.2 %","3.95","3.91","3.93","17.8"
"2004","Athletics","91","71","35","576","162","1471.1","6.32","3.33","1.00",".289","72.3 %","46.9 %","10.5 %","4.17","4.34","4.39","17.7"
"2007","Cubs","85","77","39","640","162","1446.2","7.53","3.56","1.03",".281","73.6 %","41.3 %","9.6 %","4.04","4.36","4.36","17.7"
"2009","Cubs","83","78","40","641","161","1445.1","7.92","3.65","1.00",".285","74.4 %","42.8 %","10.0 %","3.84","4.11","4.14","17.7"
"2008","Rockies","74","88","36","647","162","1446.0","6.48","3.50","0.92",".309","68.6 %","46.8 %","10.0 %","4.77","4.30","4.32","17.7"
"2008","Angels","100","62","66","545","162","1451.1","6.86","2.83","0.99",".296","73.0 %","44.3 %","9.8 %","4.00","4.12","4.17","17.7"
"2013","Yankees","85","77","49","590","162","1447.1","7.67","2.72","1.06",".302","74.6 %","44.0 %","11.5 %","3.94","3.89","3.76","17.6"
"2002","Cubs","67","95","23","552","162","1441.1","8.32","3.78","1.04",".296","70.9 %","42.2 %","11.4 %","4.30","4.00","3.91","17.5"
"2008","Red Sox","95","67","47","628","162","1446.1","7.37","3.41","0.91",".289","72.6 %","43.5 %","9.2 %","4.01","4.09","4.23","17.5"
"2010","Padres","90","72","49","661","162","1456.1","8.00","3.20","0.86",".286","76.7 %","46.0 %","9.3 %","3.41","3.66","3.67","17.5"
"2007","Blue Jays","83","79","44","582","162","1448.2","6.63","2.98","0.98",".282","71.8 %","48.7 %","10.6 %","4.00","4.28","4.15","17.5"
"2005","Padres","82","80","45","618","162","1455.1","7.01","3.11","0.90",".295","71.0 %","43.0 %","9.2 %","4.13","3.90","4.10","17.4"
"2005","Mets","83","79","38","554","162","1435.2","6.34","3.08","0.85",".283","73.7 %","44.2 %","8.8 %","3.77","3.98","4.23","17.4"
"2006","Rockies","76","86","34","661","162","1447.1","5.92","3.44","0.96",".304","69.5 %","45.7 %","9.6 %","4.66","4.51","4.68","17.3"
"2006","Yankees","97","65","43","651","162","1443.2","6.35","3.09","1.06",".289","70.3 %","43.3 %","9.6 %","4.43","4.42","4.61","17.3"
"2007","White Sox","72","90","42","625","162","1440.2","6.34","3.12","1.09",".304","68.2 %","42.9 %","9.8 %","4.77","4.56","4.54","17.2"
"2006","Athletics","93","69","54","606","162","1451.2","6.22","3.28","1.00",".301","73.4 %","42.6 %","9.2 %","4.22","4.42","4.67","17.2"
"2010","Dodgers","80","82","41","637","162","1441.2","7.95","3.36","0.84",".287","70.9 %","44.6 %","8.6 %","4.01","3.76","3.87","17.1"
"2013","Nationals","86","76","47","602","162","1445.2","7.69","2.52","0.88",".291","73.7 %","45.0 %","9.8 %","3.59","3.55","3.64","17.1"
"2007","Athletics","76","86","36","608","162","1448.0","6.44","3.29","0.86",".296","69.4 %","44.8 %","8.3 %","4.30","4.23","4.44","17.0"
"2013","Reds","90","72","43","623","162","1473.2","7.91","2.66","1.04",".273","77.5 %","44.1 %","11.5 %","3.38","3.81","3.68","17.0"
"2008","Rays","97","65","52","610","162","1457.2","7.06","3.25","1.02",".277","74.0 %","40.8 %","9.3 %","3.82","4.22","4.35","16.8"
"2014","Rays","77","85","37","656","162","1463.2","8.84","2.96","0.89",".286","74.1 %","40.8 %","9.1 %","3.56","3.56","3.62","16.8"
"2013","Rays","92","71","42","648","163","1464.0","8.05","2.96","0.94",".284","73.6 %","44.6 %","10.6 %","3.74","3.71","3.71","16.8"
"2003","Twins","90","72","45","561","162","1461.2","6.14","2.48","1.15",".290","71.1 %","38.6 %","10.4 %","4.41","4.26","4.38","16.8"
"2008","Royals","75","87","44","601","162","1445.2","6.75","3.21","0.99",".298","69.1 %","41.9 %","9.2 %","4.50","4.21","4.36","16.7"
"2003","Phillies","86","76","33","599","162","1443.2","6.61","3.34","0.89",".284","72.3 %","45.3 %","9.7 %","4.06","4.12","4.32","16.6"
"2004","Marlins","83","79","53","566","162","1439.0","6.98","3.21","1.04",".288","72.9 %","43.7 %","10.7 %","4.10","4.17","4.21","16.6"
"2009","Athletics","75","87","38","650","162","1447.1","6.99","3.25","0.97",".302","70.3 %","44.1 %","9.2 %","4.29","4.10","4.24","16.6"
"2002","Expos","83","79","39","599","162","1453.0","6.74","3.15","1.02",".295","72.9 %","47.2 %","11.5 %","3.98","4.08","3.97","16.6"
"2012","White Sox","85","77","37","628","162","1445.2","7.76","3.13","1.16",".288","75.2 %","42.7 %","12.1 %","4.02","4.23","4.12","16.5"
"2011","Athletics","74","88","39","622","162","1447.2","7.21","3.23","0.85",".289","72.1 %","44.1 %","8.5 %","3.71","3.80","3.98","16.5"
"2014","Padres","77","85","41","643","162","1438.2","8.03","2.89","0.73",".289","74.9 %","45.2 %","8.6 %","3.27","3.46","3.57","16.5"
"2005","Brewers","81","81","46","557","162","1438.0","7.34","3.56","1.06",".285","73.8 %","41.4 %","10.5 %","3.98","4.20","4.22","16.5"
"2008","Phillies","92","70","47","630","162","1449.2","6.71","3.31","0.99",".292","74.8 %","44.8 %","10.8 %","3.89","4.30","4.21","16.5"
"2007","Rockies","90","73","39","692","163","1472.0","5.91","3.08","1.00",".290","71.1 %","46.5 %","9.9 %","4.32","4.52","4.48","16.5"
"2010","Blue Jays","85","77","45","617","162","1440.2","7.40","3.37","0.94",".297","71.2 %","45.7 %","9.5 %","4.23","4.04","4.03","16.5"
"2002","Dodgers","92","70","56","585","162","1457.2","6.99","3.43","1.02",".270","75.5 %","42.5 %","10.7 %","3.69","4.12","4.11","16.4"
"2003","Astros","87","75","50","664","162","1450.0","7.07","3.51","1.00",".281","74.4 %","43.8 %","10.7 %","3.87","4.23","4.29","16.4"
"2013","Royals","86","76","52","589","162","1448.1","7.51","2.91","0.96",".290","76.9 %","41.8 %","10.0 %","3.45","3.83","3.90","16.4"
"2012","Diamondbacks","81","81","39","623","162","1433.2","7.53","2.62","0.97",".301","72.0 %","46.1 %","11.0 %","3.94","3.81","3.84","16.4"
"2014","Braves","79","83","54","634","162","1455.0","8.05","2.92","0.75",".300","75.0 %","42.7 %","8.3 %","3.38","3.47","3.63","16.4"
"2006","Indians","78","84","24","539","162","1423.1","5.99","2.71","1.05",".308","70.0 %","44.7 %","10.0 %","4.43","4.34","4.47","16.4"
"2006","Padres","88","74","50","637","162","1463.2","6.75","2.88","1.08",".276","73.9 %","41.5 %","10.1 %","3.88","4.27","4.39","16.4"
"2004","Cardinals","105","57","57","631","162","1453.2","6.45","2.72","1.05",".276","74.4 %","48.0 %","11.9 %","3.75","4.17","4.06","16.4"
"2012","Orioles","93","69","55","654","162","1483.0","7.14","2.92","1.12",".285","73.8 %","44.7 %","11.7 %","3.90","4.20","4.14","16.3"
"2006","Brewers","75","87","43","589","162","1425.2","7.23","3.24","1.12",".297","67.4 %","42.1 %","10.8 %","4.83","4.39","4.40","16.2"
"2006","Mets","97","65","43","636","162","1461.1","7.15","3.25","1.11",".284","72.5 %","43.3 %","11.0 %","4.16","4.37","4.34","16.2"
"2013","Indians","92","70","38","702","162","1441.1","8.61","3.46","0.92",".302","74.2 %","44.5 %","10.7 %","3.82","3.73","3.71","16.2"
"2004","Dodgers","93","69","51","621","162","1453.1","6.60","3.23","1.10",".279","74.6 %","41.4 %","10.7 %","4.01","4.36","4.40","16.2"
"2002","Twins","94","67","47","596","161","1444.2","6.39","2.73","1.15",".286","73.0 %","38.2 %","10.0 %","4.12","4.20","4.31","16.2"
"2013","Mets","74","88","40","697","162","1476.2","7.37","2.79","0.93",".295","72.9 %","44.5 %","10.0 %","3.78","3.79","3.86","16.1"
"2002","Angels","99","63","54","562","162","1452.1","6.19","3.15","1.05",".269","75.6 %","41.0 %","9.9 %","3.69","4.25","4.36","16.1"
"2011","Angels","86","76","39","548","162","1465.0","6.50","2.92","0.87",".282","74.5 %","44.9 %","8.8 %","3.57","3.89","4.01","16.1"
"2004","Braves","96","66","48","645","162","1450.0","6.36","3.25","0.96",".294","75.0 %","47.1 %","10.7 %","3.75","4.15","4.18","16.1"
"2003","Mariners","93","69","38","528","162","1441.0","6.25","2.91","1.08",".269","75.6 %","39.2 %","9.9 %","3.76","4.29","4.49","16.1"
"2007","Giants","71","91","37","658","162","1453.2","6.54","3.67","0.82",".293","71.8 %","43.0 %","7.7 %","4.20","4.30","4.59","16.0"
"2011","Tigers","95","67","52","583","162","1440.0","6.97","3.08","0.93",".292","71.2 %","44.5 %","9.3 %","4.04","3.96","4.00","16.0"
"2005","Phillies","88","74","40","604","162","1435.0","7.27","3.05","1.19",".283","72.4 %","44.4 %","13.3 %","4.21","4.29","3.94","16.0"
"2010","Phillies","97","65","40","613","162","1456.1","7.31","2.57","1.04",".289","75.3 %","46.5 %","10.6 %","3.68","3.93","3.75","16.0"
"2007","Diamondbacks","90","72","51","631","162","1441.0","6.80","3.41","1.06",".293","72.7 %","43.9 %","10.3 %","4.13","4.52","4.42","16.0"
"2013","Athletics","96","66","46","609","162","1452.0","7.33","2.65","1.01",".276","74.8 %","39.5 %","9.2 %","3.56","3.83","4.05","16.0"
"2013","Red Sox","97","65","33","612","162","1454.0","8.01","3.24","0.97",".294","74.5 %","42.9 %","10.2 %","3.79","3.84","3.89","16.0"
"2010","Astros","76","86","45","669","162","1439.1","7.57","3.43","0.88",".305","71.0 %","44.3 %","8.8 %","4.09","3.89","3.97","15.9"
"2006","Rangers","80","82","42","651","162","1431.1","6.11","3.12","1.02",".307","70.6 %","46.4 %","10.4 %","4.61","4.44","4.50","15.8"
"2010","Tigers","81","81","32","578","162","1444.1","6.58","3.35","0.88",".296","70.6 %","43.8 %","8.3 %","4.29","4.14","4.31","15.8"
"2014","Royals","89","73","53","613","162","1450.2","7.25","2.73","0.79",".292","73.9 %","43.1 %","8.2 %","3.51","3.69","3.88","15.8"
"2009","Rangers","87","75","45","598","162","1434.2","6.37","3.33","1.07",".288","72.1 %","42.5 %","10.0 %","4.38","4.49","4.50","15.8"
"2003","Giants","100","61","43","622","161","1437.1","6.30","3.42","0.85",".278","74.4 %","43.5 %","8.9 %","3.73","4.09","4.40","15.7"
"2004","Orioles","78","84","27","614","162","1455.1","6.74","4.25","0.98",".298","69.9 %","45.6 %","9.9 %","4.71","4.52","4.66","15.7"
"2013","White Sox","63","99","40","632","162","1455.0","7.73","3.15","1.13",".295","73.1 %","43.3 %","11.5 %","4.00","4.13","3.98","15.7"
"2004","Pirates","72","89","46","625","161","1428.0","6.80","3.63","0.94",".301","71.5 %","45.0 %","9.9 %","4.31","4.24","4.38","15.6"
"2014","Angels","98","64","46","705","162","1482.2","8.15","3.06","0.76",".285","73.3 %","41.7 %","8.0 %","3.58","3.57","3.78","15.6"
"2014","Mariners","87","75","51","659","162","1452.0","8.16","2.87","0.85",".275","76.8 %","45.4 %","9.9 %","3.17","3.61","3.57","15.6"
"2004","Padres","87","75","44","599","162","1441.0","6.74","2.64","1.15",".290","73.3 %","42.9 %","11.2 %","4.03","4.19","4.14","15.5"
"2005","Cardinals","100","62","48","598","162","1445.2","6.06","2.76","0.95",".282","75.1 %","50.7 %","11.6 %","3.49","4.09","3.98","15.5"
"2003","Expos","83","79","42","599","162","1437.2","6.44","2.90","1.13",".290","73.5 %","44.6 %","12.2 %","4.01","4.35","4.23","15.5"
"2014","Cardinals","90","72","55","647","162","1448.2","7.59","2.92","0.76",".286","74.4 %","45.4 %","8.6 %","3.50","3.65","3.77","15.5"
"2010","Red Sox","89","73","44","605","162","1456.2","7.46","3.58","0.94",".292","70.9 %","43.6 %","9.0 %","4.19","4.08","4.13","15.5"
"2009","Blue Jays","75","87","25","607","162","1451.0","7.33","3.42","1.12",".308","72.2 %","45.0 %","11.6 %","4.47","4.35","4.13","15.4"
"2009","Diamondbacks","70","92","36","645","162","1447.2","7.20","3.26","1.04",".298","69.8 %","43.2 %","10.3 %","4.44","4.20","4.17","15.4"
"2014","Phillies","73","89","40","623","162","1468.1","7.69","3.19","0.82",".295","72.2 %","46.4 %","9.4 %","3.81","3.81","3.83","15.4"
"2014","Athletics","88","74","31","603","162","1463.1","7.65","2.50","0.90",".272","75.9 %","45.6 %","10.0 %","3.22","3.67","3.60","15.4"
"2012","Braves","94","68","47","622","162","1445.1","7.67","2.89","0.90",".284","75.4 %","47.2 %","10.8 %","3.42","3.74","3.80","15.4"
"2006","Blue Jays","87","75","42","644","162","1428.1","6.78","3.18","1.17",".292","71.7 %","46.3 %","12.3 %","4.37","4.51","4.30","15.4"
"2002","Indians","74","88","34","583","162","1424.2","6.68","3.81","0.90",".310","67.6 %","45.4 %","9.7 %","4.91","4.16","4.29","15.3"
"2012","Mets","74","88","36","667","162","1434.0","7.78","3.06","1.01",".290","71.1 %","42.6 %","10.5 %","4.09","3.93","4.04","15.3"
"2005","Yankees","95","67","46","580","162","1430.2","6.20","2.91","1.03",".297","69.1 %","47.0 %","10.1 %","4.54","4.28","4.36","15.2"
"2003","Braves","101","61","51","651","162","1456.1","6.13","3.43","0.91",".283","70.6 %","47.6 %","11.0 %","4.10","4.21","4.24","15.2"
"2013","Rockies","74","88","35","665","162","1436.0","6.67","3.24","0.85",".314","70.2 %","47.4 %","10.0 %","4.44","3.96","4.02","15.2"
"2003","Blue Jays","86","76","35","605","162","1435.0","6.17","3.04","1.15",".302","69.2 %","46.4 %","12.7 %","4.69","4.46","4.26","15.1"
"2005","Cubs","79","83","39","619","162","1440.0","7.85","3.60","1.16",".284","73.7 %","46.0 %","13.5 %","4.19","4.26","3.90","15.1"
"2010","Rays","96","66","51","653","162","1453.2","7.36","2.96","1.08",".278","75.2 %","41.3 %","9.9 %","3.78","4.09","4.00","15.1"
"2011","Mariners","67","95","39","513","162","1433.0","6.83","2.74","0.91",".285","71.5 %","43.8 %","9.1 %","3.91","3.84","3.92","15.0"
